stream,category,confidence,core_candidate,wc,has_url,text_preview,has_financial_pretence,has_credentials_request,has_reward_or_prize,has_confidentiality_appeal
sa_spam,promo_marketing_email,high,False,656,False,"<<< SPECIAL REVISED PRICE AS OF 5/24/2002 - HURRY QUANITIES WILL BE LIMITED >>>

Attention: Are you buying from the ""Inf",False,False,False,False
sa_spam,promo_marketing_email,high,False,187,True,Our delightful garden ornaments combine the finest craftsmanship in woodworking with the lastest technology in paints an,False,False,False,False
sa_spam,promo_marketing_email,high,False,206,True,"MarketingonTarget.com has teamed up
with FoundMoney to help you locate and claim your lost CASH.
The amount on that chec",True,False,False,False
sa_spam,promo_marketing_email,high,False,419,True,"##################################################
#                                                #
#                 ",False,True,False,False
sa_spam,promo_marketing_email,high,False,103,True,"=================================

Guaranteed to increase, lift and firm your
breasts in 60 days or your money back!!

1",False,False,False,False
sa_spam,promo_marketing_email,high,False,127,True,"As seen on NBC, CBS, CNN, and even Oprah! The health 
discovery that actually reverses aging while burning fat, 
without",False,False,False,False
sa_spam,promo_marketing_email,high,False,58,True,Lowest rates available for term life insurance! Take a moment and fill out our online form to see the low rate you quali,False,False,False,False
sa_spam,promo_marketing_email,high,False,119,True,"WE NEED HELP.  We are a 14 year old fortune 500 company, and we have 
grown 1000%!  We cannot keep up.  We are looking f",False,False,False,False
sa_spam,promo_marketing_email,high,False,237,True,"Hi There,

I recently came across a copy of your resume I found on the 
internet. In case you're back on the market, you",False,False,False,False
sa_spam,promo_marketing_email,high,False,133,True,"Protect your financial well-being.
 Purchase an Extended Auto Warranty for your Car today. CLICK HERE for a FREE no obli",False,False,False,False
sa_spam,promo_marketing_email,high,False,178,False,"Government Grants E-Book 2002 edition
You Can Receive The Money You Need...
Every day millions of dollars are given away",False,False,False,False
sa_spam,promo_marketing_email,high,False,123,False,"...................................................................................................................
You ",False,False,False,False
sa_spam,generic_spam_nonphishing,high,False,5,False,Click here to be removed,False,False,False,False
sa_spam,promo_marketing_email,medium,False,100,True,"Would you like to know what the Powerball Winning Lottery Numbers will be in the Morning, If so Just Follow This link ma",False,False,True,False
sa_spam,promo_marketing_email,high,False,314,False,"Thank you in advance for taking the time to
review this email.
I am not selling anything. Allow our liquidation
service ",False,False,False,False
sa_spam,promo_marketing_email,high,False,38,True,"BUY 2 ADULT DVDs AT REGULAR PRICE AND GET A THIRD XXX DVD FOR FREE!!

VISIT US AT http://www.hotdvds.org

To be removed ",False,False,False,False
sa_spam,promo_marketing_email,medium,False,25,False,"sky
Your home refinance loan is approved!
To get your approved amount go
here.
To be excluded from further notices go
he",False,False,False,False
sa_spam,candidate_419_or_advance_fee,high,True,2432,False,"Dear Friends & Future Millionaire: 

AS SEEN ON NATIONAL TV: 
Making over half million dollars every 4 to 5 months from ",True,False,True,False
sa_spam,promo_marketing_email,high,False,99,False,"NEED Health Insurance? 
 In addition to featuring the largest selection of major medical 
health plans from leading comp",False,False,False,False
sa_spam,promo_marketing_email,high,False,176,False,"Beautiful, 100% Custom
Websites, $399 Complete!
Get a beautiful, 100% Custom Web Site (or
yours redesigned) for only
$38",False,False,False,False
sa_spam,promo_marketing_email,high,False,346,True,"Certain chances only come around every few
decades or so. This is one. Why you ask?

Because home loan rates are headed ",True,False,True,False
sa_spam,candidate_419_or_advance_fee,high,True,1750,False,"<HTML>
<BODY bgColor=#C0C0C0>

<FONT face=""Arial"">
<FONT size=4>
<FONT color=""#800040""> Thank you for your interest!</FO",True,False,True,False
sa_spam,promo_marketing_email,medium,False,177,False,"UNLIMITED WEB CONFERENCING
Subscribe to the Web Conference Center for only $40.00 per month!
(Connects up to 15 particip",False,False,False,True
sa_spam,promo_marketing_email,high,False,114,True,"We dare you...
 Try to find a better annuity!
 
  - 5.40% Guaranteed for 6 Years
- 6 Year Surrender Charge
- 5% Agent
Co",False,False,False,False
sa_spam,generic_spam_nonphishing,medium,False,75,False,"Degerli SMSTR kullanicimiz
SMS programimiz �esitli aksakliklar sebebi ile kullanilamaz hale gelmistir. Bu
sebepten dolay",False,False,False,False
sa_spam,promo_marketing_email,high,False,21,False,"供
手机短信息包月卡和短信息群发软件。
1. A类短信包月卡：包月费2000元。可以支持短信通24小时连续不断发送短信息，无频次限制，日发送量在1万条以上。
2. B类短信包月卡：包月费500元。日发送量为3000条左右。此卡有频次限制。发",False,False,False,False
sa_spam,generic_spam_nonphishing,medium,False,58,True,"FIND OUT WHO THEY ARE CHATTING/E-MAILING WITH ALL THOSE HOURS!

Is your spouse cheating online? 

Are your kids talking ",False,False,False,False
sa_spam,promo_marketing_email,high,False,472,True,"Long time no chat!

How have you been? If you've been like me, you've been trying
trying almost EVERYTHING to lose weigh",False,False,True,False
sa_spam,promo_marketing_email,high,False,340,True,"Dear Subscriber,

If I could show you a way to get up to 10,000 visitors a day to your web site, noting that it will cos",False,False,False,False
sa_spam,promo_marketing_email,high,False,145,True,"MERIDIA \ufffd is an FDA-approved oral prescription 
 medication that is used for the medical management 
 of obesity, i",False,False,False,False
sa_spam,promo_marketing_email,high,False,116,True,"RECIEVE ALL CHANNELS ON YOUR SATELLITE SYSTEM! 1-888-406-4246

With our Pre-Programmed Satelite Cards get ALL channels
a",False,False,False,False
sa_spam,promo_marketing_email,high,False,1675,True,"It was the Spring of 1979.  

I was just a tall, goofy looking kid in middle school
with buck-teeth and freckles.  Each ",True,False,True,False
sa_spam,promo_marketing_email,high,False,127,True,"Tremendous Savings
on Toners,
Inkjets, FAX, and Thermal Replenishables!!
Toners 2 Go
is your secret
weapon to lowering y",False,False,False,False
sa_spam,promo_marketing_email,high,False,195,True,"Mortgage Lenders & Brokers Are Ready to
        compete for your business.

Whether a new home loan is what you seek or ",False,False,False,True
sa_spam,promo_marketing_email,high,False,127,True,"*Free phone
offer subject to VoiceStream Wireless credit approval. Must activate a new
line of service to receive a free",False,False,True,False
sa_spam,promo_marketing_email,medium,False,204,False,"PROFESSIONAL, EFFECTIVE DEBT COLLECTION SERVICES AVAILABLE

For the last seventeen years, National Credit Systems, Inc. ",False,False,False,False
sa_spam,promo_marketing_email,high,False,142,False,"1) Disney/Orlando Vacation
Roundtrip Airfare included for 2 people in all 50 States: Only $499

2) Las Vegas Vacation
Ro",False,False,False,False
sa_spam,promo_marketing_email,high,False,83,False,"WUT  汽车、交通行业   MBA
                    工商管理硕士研究生课程研修班
                         招    生    简    章
         行业权威大学主办  培养行业高",False,False,True,False
sa_spam,promo_marketing_email,high,False,177,False,"Earn 15%-300% Interest On Your Money
GUARANTEED BY THE GOVERNMENT!
Government Secured Tax Cerificates Provide:
The highe",True,False,True,False
sa_spam,promo_marketing_email,high,False,115,False,"Save up to
75% on your Term Life
Insurance!
Compare rates from top insurance companies around
the country
In our life an",False,False,False,False
sa_spam,generic_spam_nonphishing,high,False,88,True,"WET, HORNY AND DIRTY GRANDMAS!

Remember how you lusted after your friend's mum in high
school? She was 46 and you were ",False,False,False,False
sa_spam,promo_marketing_email,high,False,272,False,"WEALTH IN THE NEW MILLENNIUM

The New Millennium has arrived with more financial opportunities than ever
before. Forget ",True,False,False,True
sa_spam,promo_marketing_email,medium,False,198,False,"Have tax problems? Do you owe the IRS money? If your debt is
$10,000 US or more, we can help! Our licensed agents can he",True,False,False,True
sa_spam,candidate_419_or_advance_fee,high,True,402,True,"CENTRAL BANK OF NIGERIA
FOREIGN REMITTANCE DEPT.
TINUBU SQUARE, LAGOS  NIGERIA
EMAIL-smith_j@mailsurf.com
23TH OF August",True,False,False,True
sa_spam,promo_marketing_email,high,False,251,True,"Opportunity is knocking. Why?

Because mortgage rates are rising.

As a National Lender, not a broker, we can
guarantee ",True,False,True,False
sa_spam,promo_marketing_email,high,False,118,True,"Unbeatable Product...Unbeatable Commissions!	
 LegalIQ - America's Premier Discount Legal Services Program	
 NO License ",False,False,False,False
sa_spam,promo_marketing_email,medium,False,86,True,"Awesome deals on seized and unclaimed
property the government auctions to the public. Cars from $100,
Real estate, jewel",False,False,False,False
sa_spam,promo_marketing_email,high,False,266,False,"We offer some of the best bulk e-mail prices on the Internet.  
Bulk e-mail can get you the best exposure on the net. Wh",False,False,True,False
sa_spam,candidate_419_or_advance_fee,high,True,142,False,"Hi, I am Fatimata i have been thinking to get a trust worthy person about the issure boadering me but i never wanted to ",True,False,False,True
sa_spam,promo_marketing_email,high,False,241,True,"Flat-Rate Unlimited Domestic Calling?

How does it work?

>From the registered phone line, you can call to any phone in ",False,False,False,False
sa_spam,promo_marketing_email,high,False,168,True,"The Easiest Way to Discover the Truth about Anyone
NetDetective 7.0 is an amazing new tool that allows you to dig up fac",False,False,False,False
sa_spam,promo_marketing_email,high,False,232,True,"Home for Sale? 
List with us! <http://www.clrea.com/whyusseller.cfm> 

Buying a home is an important step in your life a",False,False,False,False
sa_spam,promo_marketing_email,high,False,55,True,"(suddenlysusan@Stoolmail.zzn.com) on Tuesday, July 30, 2002 at 17:07:56
: Why Spend upwards of $4000 on a DVD Burner whe",False,False,False,False
sa_spam,promo_marketing_email,high,False,156,True,"FREE SOFTWARE!
LIMITED TIME OFFER!*
FREE DOWNLOAD
MORE INFO
SAMPLES
UNSUBSCRIBE
DOWNLOAD 1
DOWNLOAD 2
MIRROR site 1
MIRR",False,False,False,False
